Date,Tweet,City,Country
Tue Mar 27 18:03:59 +0000 2018,  Puke purgatory: a term for when one person in your family has had a stomach flu and you’re waiting to see if anyone els…,none,none
Tue Mar 27 18:04:04 +0000 2018," Fever flu stomach ache, Heartache bs",Foz do Iguaçu,none
Tue Mar 27 18:04:23 +0000 2018,Flu.. this is me right now  ,none,BR
Tue Mar 27 18:04:36 +0000 2018,"Have you had the Chemtrail Flu Yet. Pilots, Doctors, &amp; Scientists Tell The Truth About Chemtrails/Geo-Engineering  via ",none,none
Tue Mar 27 18:04:44 +0000 2018,  Flu Deaths Are the Latest Example of People Dying In America Simply Because They Can't Afford Medicine ,none,none
Tue Mar 27 18:04:46 +0000 2018,9 countries have boycotted foiegras re bird flu #banfoiegras ,none,none
Tue Mar 27 18:04:49 +0000 2018,"  That's not love in the air, it's the flu.",none,none
Tue Mar 27 18:05:14 +0000 2018,  Too much caffeine or other diuretics can be an issue.  I'm well past keto flu but if I don't get enough sodium I'll get a flutter in my heart.  Not a good feeling but easily/rapidly fixed with a few grams of sodium.,none,none
Tue Mar 27 18:05:15 +0000 2018,O fole  ,none,none
Tue Mar 27 18:05:28 +0000 2018,"  If u guys ever wanna lose 15 pounds, just get the stomach flu",none,none
Tue Mar 27 18:05:31 +0000 2018,Draymond Green is doubtful tonight (flu-like symptoms),none,none
Tue Mar 27 18:05:36 +0000 2018,Draymond Green is doubtful because of flu like symptoms/throat infection,none,none
Tue Mar 27 18:05:43 +0000 2018,Flu season isn't over yet!  Ck out this guide to managing household germs from  #generationgood ,none,none
Tue Mar 27 18:05:52 +0000 2018,Draymond Green (flu-like symptoms) is doubtful for tonight. And Omri Casspi is out.,none,none
Tue Mar 27 18:05:57 +0000 2018,  #FluFact: Did you know #flu viruses are named in part based on where and when they are originally collected? Learn more: ,none,none
Tue Mar 27 18:05:59 +0000 2018,  Play Sol705! Sol705 a free point &amp;amp; click graphic adventure with lots of retro mystery and a plot set to stunt!  #g…,none,none
