Date,Tweet,City,Country
Sat Mar 24 22:19:15 +0000 2018,Had to be sent home early from work due to a stomach flu. I feel like I'm about to puke my guts out.,none,none
Sat Mar 24 22:19:21 +0000 2018,RT @freep: Pink postpones Detroit concert as she recovers from flu https://t.co/8akBF3ckz7,none,none
Sat Mar 24 22:19:27 +0000 2018,Hospital https://t.co/PJInwd2J81,none,none
Sat Mar 24 22:20:27 +0000 2018,"RT @OccupyRedding: Plz RT  - Mystery Sickness Hitting #Redding #California ? ""People are suffering from whatever it is that's going around.…",none,none
Sat Mar 24 22:20:47 +0000 2018,"Me:- comments something about older brother.
Dad and bro: you are getting kinda too sarcastic. That is too much.
Me inside: I am ""sorry"" for being honest and sick at the same time.
#flu #sick",none,none
Sat Mar 24 22:20:53 +0000 2018,"@oldman_58 Pearl Harbor?
When we enslaved an entire race of people in our borders?
When we fought a political war in Vietnam? 
The  Spanish flu in 1918 when roughly 675,000 Americans died in a single year?
The Great Depression? 
Nixon?",none,none
Sat Mar 24 22:21:02 +0000 2018,RT @LCArena_Detroit: .@Pink is recovering from the flu and will postpone her Little Caesars Arena show tomorrow (March 25). Ticket holders…,none,none
Sat Mar 24 22:21:10 +0000 2018,RT @DoylestownHS: Great turnout for the last of our #DoylestownHistoryMonth talks @DoylestownBooks. Our Mayor talked about how the 1918 Flu…,none,none
Sat Mar 24 22:21:12 +0000 2018,"RT @ch24records: Seven Stories: Comedia is out now.

Download/stream it here &gt;&gt; https://t.co/cp4B4QSZY9

Support from the likes of Hernan C…",none,none
Sat Mar 24 22:21:12 +0000 2018,#Google  Parents of young children have reason to be watchful as flu season ends - CNN https://t.co/XUG0ljWw90,none,none
Sat Mar 24 22:21:22 +0000 2018,RT @freep: Pink postpones Detroit concert as she recovers from flu https://t.co/8akBF3ckz7,none,none
Sat Mar 24 22:21:24 +0000 2018,"RT @MrMoeOthman: Incoming events: 

1. Donald trump won’t finish a 4 year term. 

2. The entire United States market &amp; economy is going to…",none,none
Sat Mar 24 22:21:24 +0000 2018,Loyola pass the ball like it's covered in swine flu,none,none
Sat Mar 24 22:21:41 +0000 2018,"why spend big £££s on food and essentials when you could spend £££s on flu medicine that doesn't even work?

just ring 1-180000000-please-god-kill-me-i-am-literally-sick-of-this-flu and you can be the proud owner of the flu!",none,none
