Date,Tweet,City,Country,random #
Thu Apr 05 18:29:56 +0000 2018,apparently its possible ill be raging if its the flu that finishes me off haven't even got my organ donor card sorted,none,GB,0.162772796
Thu Apr 26 18:02:42 +0000 2018,  I woke up to what feels like the flu... then stepped on my laptop charger and broke it.. then go to walk in my room to st…,none,none,0.115017128
Tue Apr 17 16:35:07 +0000 2018,  Nigga I downed 2 cups of everclear and my homie told me his mom had the flu and I started crying cause I thought she wa…,none,none,0.864336663
Wed Apr 18 18:25:20 +0000 2018," sciam "" SteveMirsky: Massive mining of Tweets can predict flu outbreaks two weeks in advance sciam podcast based on story by rdberkowitz  ",none,none,0.031627817
Thu Apr 26 17:44:55 +0000 2018," lollll flu, then stomach flu, mass amounts of phelm, sick and chapping ",none,none,0.372605961
Mon Apr 16 18:43:08 +0000 2018,"      The PLOS study reveals that the methodology used in all four  cRCTs has been found to be flawed. Furthermore, none of the studies were  conducted in hospital settings.    ref. only     baby vaccine",none,US,0.064650386
Thu Apr 05 18:30:42 +0000 2018,  Crushes ain't shit  ,none,none,0.647328698
Tue Apr 03 18:25:20 +0000 2018,  That too! #Tuskegee_RYS18 ,none,none,0.037912304
Tue May 01 17:54:52 +0000 2018,Oh Dear LORD! ,none,none,0.695511019
Thu Apr 05 19:10:26 +0000 2018,"  When our fishy ancestors came on land, a new study indicates, they brought a lot of their viruses with them (including the…",none,none,0.341932659
Wed Apr 25 20:56:30 +0000 2018,NowPlaying Deep Pride (RC Deep Flu Mix)  - DJ Roland Clark  21:56,none,none,0.244756109
Tue Apr 17 17:15:00 +0000 2018,  Powassan virus is spreading across Canada and can cause severe meningoencephalitis. It should be suspected in those presenting wi…,none,none,0.278406705
Wed Apr 25 20:52:48 +0000 2018,Nice ,none,none,0.207637182
Tue Apr 17 16:44:22 +0000 2018,Think I’m coming down with the worst man flu ever  ,none,none,0.04625671
Sun Apr 01 20:18:38 +0000 2018,"  No #OffTheScript today. No sleep, cold sweats and I definitely have the flu. Gonna take it easy and do something for tomor…",none,none,0.050536525
Thu Apr 19 18:02:24 +0000 2018,Woop..flu vaccine arrived at my local clinic. Time to get it asap.   Get mad anti vaxxers.,none,AU,0.60861752
Mon Apr 02 19:16:06 +0000 2018," I was sick with flu, my dog (Rottweiler)was laying at foot of bed. I was awakened by horrific snarling... my dog would not allow anyone into the room. Now I'm called Damien.",none,none,0.248184626
Tue Apr 24 17:30:35 +0000 2018,"  Albert McKenzie VC from the Zeebrugge Raid, today 1918. Southwark lad. Died of the Spanish flu later in the year. Buri…",none,none,0.388796481
Tue Apr 17 17:25:06 +0000 2018,"  Fluido 70: double door and double Softclose for this shower cubicle, installed in a private mansion in the Netherlands. Co…",none,none,0.790697366
Thu Apr 05 18:30:06 +0000 2018,"  This is the same brotha that said the “flu vaccine” and was actually giving people and the flu and killing them, he mysterio…",none,none,0.570906943
Thu Apr 05 18:42:42 +0000 2018,The mother of all pandemics: #flu then &amp; now is topic of the NIAID 2018 John Ring LaMontagne lecture at 3 p.m. on 4/10. Dr. David Morens will discuss what is known &amp; unknown about the #1918flu #pandemic.  ,none,none,0.379460685
Mon Apr 16 18:40:47 +0000 2018," ""I'm just one stomach flu away from my goal weight.""   The Devil Wears Prada, 2006",none,none,0.979052008
Mon Apr 02 19:24:22 +0000 2018,   My cat loves me but would absolutely just watch me get murdered.   My dog loves me even more but when I had the…,none,none,0.15613826
Wed Mar 28 18:19:35 +0000 2018,  #QAnon Sergey Brin's wife founded 23andMe. Are they making flu shots or are they testing to see what they can use again…,none,none,0.605790626
Tue Apr 17 16:48:16 +0000 2018,"  Kovsie Students, the pharmacy on campus is doing Flu Vaccinations and you dont need to make a booking or anything. You can use…",none,none,0.050488291
Mon Apr 23 18:09:38 +0000 2018,Lol that time Daq has already had flu 3 times mme winter e ise e goroge! Dikota di ya ko dreadeng!,none,none,0.319441186
Thu Apr 05 18:29:27 +0000 2018,  HE KNEW SOME SHIT AND THEY KILLED THIS MAN. Ain’t he the one who said the flu shot caused the epidemic and they did it inten…,none,none,0.959431206
Tue Mar 27 18:19:30 +0000 2018,   I'm not even stem and I've only missed 1 class because I had the flu. Like... Geez,none,none,0.783681101
Mon Apr 23 18:10:57 +0000 2018,  I tell my man I have flu. He says I'll uber eat food for you coz I know you are useless at cooking and you will starve…,none,none,0.997279633
