Date,Tweet,City,Country,Order
Mon Apr 30 18:44:12 +0000 2018,Getting the flu!!!!! ,none,AE,2448
Wed Mar 28 18:39:04 +0000 2018,This flu really sucks.,none,AU,374
Mon Apr 23 18:08:57 +0000 2018,This flu is going to be the death of me,none,BH,1796
Tue Mar 27 18:04:23 +0000 2018,Flu.. this is me right now  ,none,BR,2
Sun Apr 01 20:18:34 +0000 2018,Tucking into bed after getting home from work. The flu sucks. Happy Easter.,none,CA,652
Tue Apr 17 16:27:49 +0000 2018,"Fuck a wedding ring, I bought a necklace. Diamonds got the flu try not to catch this ",none,CA,1366
Wed Apr 18 18:21:37 +0000 2018,I think. I seeded flu,none,CA,1591
Wed Apr 18 18:47:57 +0000 2018,"I think I’m getting the flu or I have a cold. Either way, I hope I sleep early and wake up on Monday! ",none,CH,1640
Tue Mar 27 18:47:45 +0000 2018,Bedbound all day stupid flu virus thing,none,GB,160
Wed Mar 28 18:06:29 +0000 2018,The fact the highlight of my birthday is having caught a flu and trying to decide now what the fuck I want to eat. I want to be a pig and get a takeaway but can’t decide what. Or if I can leave the house in this state. I want Indian so bad.  HELP.  My indecisive ass. ,Rainbow City,GB,273
Wed Mar 28 18:29:00 +0000 2018,Got tickets to see  tomorrow night so naturally I'm coming down with some flu-like virus. ,none,GB,349
Wed Mar 28 18:54:01 +0000 2018,"Feel so ill, this flu is getting ridiculous now ",none,GB,418
Sun Apr 01 20:18:47 +0000 2018,"Nah, too much man flu to go out!  #Durham #Bishop",none,GB,655
Mon Apr 02 19:00:48 +0000 2018,Have the Japanese flu again. Pain in the bollocks  ,none,GB,759
Mon Apr 02 19:11:50 +0000 2018,Everyone in my house has this flu.    It’s like the walking dead.,none,GB,794
Mon Apr 02 19:38:46 +0000 2018,I’ve spent pretty much all day in bed with the flu and conjunctivitis. Still better than working in Currys today. ,none,GB,863
Tue Apr 03 18:33:29 +0000 2018,"This weekend I had Mexican food and a lot of alcohol, now I’m lying in bed with a the flu… ",none,GB,928
Tue Apr 03 19:07:51 +0000 2018,I have the flu and I'm too ill to reach the remote and turn off River City. I think I might have died and gone to Hell.,none,GB,1042
Thu Apr 05 18:29:56 +0000 2018,apparently its possible ill be raging if its the flu that finishes me off haven't even got my organ donor card sorted,none,GB,1128
Thu Apr 05 18:31:45 +0000 2018,managed to avoid flu all my life till now and I deffo wanna die ,none,GB,1137
Mon Apr 16 19:10:20 +0000 2018,"After a couple of weeks off due to Easter eggs and the flu, I’ve made a slow but steady return to   ",none,GB,1318
Mon Apr 16 19:17:03 +0000 2018,"I’ve cried at several episodes of parks and rec, I got breathless cutting a piece of bread and I wore sunglasses in the bath. So this is having flu...",none,GB,1334
Tue Apr 17 16:33:21 +0000 2018," A flu that should have gone the first week, is still there 2 weeks later, because my immune system is really low due to stress... We all need to calm down and everything will be sorted at the end",none,GB,1376
Tue Apr 17 17:11:42 +0000 2018,Never in my life have I felt so rough I hate the flu!,none,GB,1517
Wed Apr 18 18:31:57 +0000 2018,So I had to abandon #BrigitteLin in #AshesOfTimeRedux when the flu hit me like a truck Friday evening. I can’t leave her there much longer.,none,GB,1612
