Class,Text
yes,apparently its possible ill be raging if its the flu that finishes me off haven't even got my organ donor card sorted
yes,  I woke up to what feels like the flu... then stepped on my laptop charger and broke it.. then go to walk in my room to st…
yes,  Nigga I downed 2 cups of everclear and my homie told me his mom had the flu and I started crying cause I thought she wa…
no," sciam "" SteveMirsky: Massive mining of Tweets can predict flu outbreaks two weeks in advance sciam podcast based on story by rdberkowitz  "
yes," lollll flu, then stomach flu, mass amounts of phelm, sick and chapping "
no,"      The PLOS study reveals that the methodology used in all four  cRCTs has been found to be flawed. Furthermore, none of the studies were  conducted in hospital settings.    ref. only     baby vaccine"
no,  Crushes ain't shit  
no,  That too! #Tuskegee_RYS18 
no,Oh Dear LORD! 
no,"  When our fishy ancestors came on land, a new study indicates, they brought a lot of their viruses with them (including the…"
no,NowPlaying Deep Pride (RC Deep Flu Mix)  - DJ Roland Clark  21:56
no,  Powassan virus is spreading across Canada and can cause severe meningoencephalitis. It should be suspected in those presenting wi…
no,Nice 
yes,Think I’m coming down with the worst man flu ever  
yes,"  No #OffTheScript today. No sleep, cold sweats and I definitely have the flu. Gonna take it easy and do something for tomor…"
no,Woop..flu vaccine arrived at my local clinic. Time to get it asap.   Get mad anti vaxxers.
yes," I was sick with flu, my dog (Rottweiler)was laying at foot of bed. I was awakened by horrific snarling... my dog would not allow anyone into the room. Now I'm called Damien."
no,"  Albert McKenzie VC from the Zeebrugge Raid, today 1918. Southwark lad. Died of the Spanish flu later in the year. Buri…"
no,"  Fluido 70: double door and double Softclose for this shower cubicle, installed in a private mansion in the Netherlands. Co…"
no,"  This is the same brotha that said the “flu vaccine” and was actually giving people and the flu and killing them, he mysterio…"
no,The mother of all pandemics: #flu then &amp; now is topic of the NIAID 2018 John Ring LaMontagne lecture at 3 p.m. on 4/10. Dr. David Morens will discuss what is known &amp; unknown about the #1918flu #pandemic.  
no," ""I'm just one stomach flu away from my goal weight.""   The Devil Wears Prada, 2006"
no,   My cat loves me but would absolutely just watch me get murdered.   My dog loves me even more but when I had the…
no,  #QAnon Sergey Brin's wife founded 23andMe. Are they making flu shots or are they testing to see what they can use again…
no,"  Kovsie Students, the pharmacy on campus is doing Flu Vaccinations and you dont need to make a booking or anything. You can use…"
no,Lol that time Daq has already had flu 3 times mme winter e ise e goroge! Dikota di ya ko dreadeng!
no,  HE KNEW SOME SHIT AND THEY KILLED THIS MAN. Ain’t he the one who said the flu shot caused the epidemic and they did it inten…
yes,   I'm not even stem and I've only missed 1 class because I had the flu. Like... Geez
yes,  I tell my man I have flu. He says I'll uber eat food for you coz I know you are useless at cooking and you will starve…
no,#MakeABandSickly U Flu
no,  I ate beef yesterday. Guess how much cow DNA I put in my body.  
yes, Uh oh. Russian flu. Hopefully it's not as strong as Russian ships in the game. Get well soon!
no, Mike Fox has still got man flu from the regimental  reunion B company Cheshire Regiment
yes,     Have you had this horrible flu that's been doing the travels?
no,Bill Gates Throws $12M at Universal Flu Vaccine Project 
no,  “This yr we saw a lot of healthy children &amp; adults lose their lives to flu. I hope that people don’t forget about that. I…
no,"  Though the technique is still in its infancy, it's providing an incredible amount of information about the flu virus.…"
no,"  When your relationship is in ICU:   Her:Baby please put me as your profile picture  Him: I can't babes,it's too cold I do…"
no, here’s one of your dudes rocking his bear mask  (came in handy for this con flu!) loved meeting you at #Insomnia62. Love both your channels! Get well soon JB 
no,  Woah who said anyone was gonna a prod your vagina forcefully? A periodic urine sample and documentation of up to date apps I feel like is sufficient. Nurses have to get mandorty flu shots? Like get a grip.
